time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
3.526543,-0.0422318835116,-1.28897175904,-1.13545871252,1.78863538621,0.723188108207,1.45644351626,-0.520779832836,0.775340277903,-0.865026015826,-0.0369186873002,0.760681428952,0.0519622827968,1.63714953857,-0.0156623273869
3.536532,-0.039758703167,-1.28926632809,-1.13501511096,1.78821034193,0.723071987826,1.45678187355,-0.518088816548,0.778872200755,-0.865309825303,-0.0364987568161,0.76024992893,0.0517378493276,1.6373831693,-0.0117841709564
3.546521,-0.0371970813056,-1.28944556277,-1.13494755826,1.78763597016,0.722722031798,1.45697186461,-0.515381738451,0.782490001877,-0.865478326449,-0.0364548178828,0.759669117039,0.0512798424402,1.63746868734,-0.00789282681859
3.556510,-0.0345605946544,-1.2892471696,-1.1353780254,1.78719648748,0.722379810053,1.45708532221,-0.512836051918,0.786180097086,-0.865269225879,-0.0369088413124,0.75922320992,0.0508298328272,1.63747792621,-0.00416575670645
3.566499,-0.0320527626131,-1.28905884924,-1.13584185292,1.78705985601,0.722065404325,1.45715270607,-0.510292336838,0.789738959706,-0.865070224317,-0.037396167485,0.759080169719,0.0504079029683,1.63744134634,-0.000443548667531
3.576488,-0.0295724433015,-1.28911357068,-1.13601509682,1.78706788797,0.721710492401,1.45717934156,-0.507735071469,0.793267724516,-0.865114290816,-0.0375928522367,0.759081808721,0.0499457313762,1.63736427381,0.00328931107829
3.586477,-0.0268786906865,-1.28926461394,-1.13604487413,1.78704480657,0.721340321528,1.45716367581,-0.505337203623,0.797007330624,-0.865254705484,-0.0376460124499,0.759052350165,0.0494685660065,1.63724515642,0.00685986695396
3.596466,-0.0241594516307,-1.2893432562,-1.13610325529,1.78692109125,0.721105695058,1.45715936461,-0.503014638089,0.800769824416,-0.865322745561,-0.0377277184133,0.758922273535,0.0491272109015,1.63713765065,0.0103522065987
3.606456,-0.0218298840039,-1.28935087805,-1.13605242502,1.78671678643,0.721027522614,1.45725004187,-0.500494752796,0.80414004144,-0.865319791708,-0.0377001546889,0.758711623295,0.0489425763579,1.63712539105,0.0140389447058
3.616445,-0.019654587901,-1.28933842514,-1.13587757181,1.78677681943,0.720753832607,1.45729807139,-0.497948226445,0.807353375192,-0.865296789638,-0.0375485096369,0.758765326799,0.0485626914425,1.63707074204,0.0177493953846
3.626434,-0.0172683020214,-1.28907710365,-1.13578056654,1.7871410074,0.720187938723,1.45746727636,-0.495715588898,0.810775080729,-0.865024945586,-0.0374746539942,0.759123201229,0.0478908704797,1.63713752746,0.0211430217756
3.636423,-0.0148227197996,-1.28863944417,-1.13568482237,1.78741761027,0.719684785175,1.45726685712,-0.493361485396,0.814253395739,-0.864576790858,-0.0374019993857,0.75939350695,0.0472820647295,1.63683495443,0.0246551014043
3.646412,-0.0124286752906,-1.28846473048,-1.13557699873,1.78753922749,0.719210166024,1.45672717849,-0.490831496575,0.817677360894,-0.86439161049,-0.0373172024179,0.759508844163,0.0467020810676,1.63619340018,0.0283399131732
3.656401,-0.00975180116763,-1.28837866225,-1.13564100274,1.78755357698,0.718246081943,1.45677558433,-0.488547410343,0.821381518811,-0.864295102391,-0.0374041741611,0.759516929735,0.0456329022352,1.63614019122,0.0317758657183
3.666390,-0.00735056032662,-1.28802571771,-1.13571922296,1.78764173541,0.717007975911,1.4575134738,-0.486629019617,0.824807401061,-0.863931744826,-0.0375053030312,0.759598840345,0.0442899717769,1.63677672728,0.034843159921
3.676379,-0.0050840508207,-1.28764104077,-1.13573617154,1.78768245597,0.715839977294,1.4579476769,-0.485124266485,0.828095904217,-0.863536681767,-0.0375451010583,0.759633329236,0.0430174196089,1.63710983887,0.0374938476682
3.686368,-0.00249320453969,-1.28774529062,-1.13567500539,1.78758123677,0.71493580952,1.45774804498,-0.483748250846,0.831706091175,-0.863630572467,-0.0375067250452,0.75952589455,0.0420089696925,1.63680937786,0.0400128232125
3.696358,0.000193617959067,-1.28802478802,-1.13552785167,1.78746435675,0.714322332955,1.45743370031,-0.482230472646,0.835409596319,-0.863899737729,-0.0373823020324,0.759402815248,0.0412914829113,1.63639446702,0.0426705809358
3.706347,0.00262928994085,-1.28796833616,-1.13541906867,1.78746654236,0.713751797056,1.45735779283,-0.480554144259,0.838859288007,-0.863832980785,-0.0372961902125,0.759398817807,0.0406172092235,1.63621825678,0.0454839029638
3.716336,0.00494335441317,-1.28772485131,-1.13544316074,1.78759719267,0.713078876936,1.45742168443,-0.478982455106,0.842184704496,-0.86357921797,-0.0373428938104,0.75952330134,0.0398408242297,1.63618210949,0.0481895945477
3.726325,0.00739720029752,-1.2876059123,-1.13547416197,1.78773890076,0.712487966602,1.45746704242,-0.477758815733,0.845647230105,-0.863450028156,-0.0373964468205,0.759658858943,0.0391467224062,1.63612769292,0.0505442399812
3.736314,0.00989229290508,-1.28732332251,-1.13537414661,1.78771881863,0.712083689459,1.45745118982,-0.476681962912,0.849148325695,-0.863157214751,-0.0373189233951,0.75963264264,0.0386395276144,1.63601233054,0.0527490975009
3.746303,0.0123474511773,-1.28692278717,-1.13528872895,1.7875738093,0.711665930562,1.45744543422,-0.475305659573,0.852606805904,-0.862746483055,-0.0372559377302,0.759481515502,0.0381191253483,1.63590733036,0.0552503993533
3.756292,0.0150166390499,-1.2869491387,-1.1352906014,1.78758273004,0.711104369071,1.45760505675,-0.474117773077,0.85627663051,-0.862762665506,-0.0372801821409,0.759484334798,0.0374551951936,1.63596797392,0.0575602735144
3.766281,0.0175810785529,-1.2868633962,-1.13560454957,1.7877714496,0.710764036862,1.45776315265,-0.473166237576,0.859838896069,-0.862666782497,-0.0376164394302,0.759666970045,0.0370127818638,1.63602736887,0.0596306451422
3.776270,0.0200829511732,-1.28670391607,-1.13616825772,1.78787925668,0.710889128001,1.45763889915,-0.471457328858,0.863335772494,-0.86249719054,-0.0382023936033,0.759768710037,0.0370360806087,1.63580469358,0.06245522547
3.786260,0.0230682048853,-1.28668946834,-1.13625016468,1.78790506846,0.710950604952,1.45722371157,-0.469097370907,0.867313332488,-0.862472658401,-0.0383064862676,0.759788471161,0.0369960411307,1.63529135105,0.0659278303697
3.796249,0.0252709146649,-1.28657362547,-1.13621223284,1.78778872754,0.710916922978,1.45698943717,-0.46739775492,0.870505647489,-0.862346758563,-0.0382906797535,0.75966609607,0.0368611190567,1.63495918887,0.0687370646774
3.806238,0.0269667618772,-1.28622708322,-1.13643983888,1.78761132739,0.710987326941,1.45716302507,-0.465958229491,0.873188395462,-0.861990186837,-0.038540350648,0.759482678231,0.0368305595947,1.6350351565,0.0712831759862
